East,North,Lat,Lon,GW
568556.38,3872436.74,34.99480238,24.75286288,8
621304,3872451,34.98997174,25.33075846,1.5
636693.4,3872451.95,34.98801535,25.4993319,1.5
621477.8,3872457.3,34.99000765,25.33266325,3
592527.3,3872459.9,34.9930984,25.01550393,65
592536,3872467,34.99316162,25.01560003,40
635093.72,3872467.61,34.98837166,25.48181255,2
630742.32,3872482.35,34.98907698,25.43415134,4
630742.32,3872482.35,34.98907698,25.43415134,1
595053,3872486,34.9930991,25.0431784,105.5
593588,3872489,34.993263,25.02712824,110
568783,3872491,34.9952762,24.75535046,15
635153.18,3872491.74,34.98858122,25.48246776,5
621478.54,3872501.72,34.99040801,25.33267784,1
621478,3872504,34.99042862,25.33267226,5
621475.21,3872512.34,34.99050415,25.33264292,1
636671.73,3872516.33,34.98859862,25.49910512,1
611643,3872528,34.99177992,25.22493562,2
568612.33,3872528.07,34.99562206,24.75348347,5
630635.51,3872528.47,34.98950655,25.43298861,1
592288.2,3872532.2,34.99377214,25.01289237,6
635154.54,3872536.98,34.98898885,25.48249001,2
636748.19,3872544.5,34.98884221,25.49994725,1.5
621484.07,3872569.8,34.99102108,25.33274837,1.5
621539,3872578,34.9910884,25.3333513,4.8
611475,3872581,34.99227629,25.22310228,6
630597.93,3872581.87,34.98999279,25.43258535,1
635209.41,3872584.96,34.98941402,25.48309883,7
573480,3872585,34.99579264,24.80682382,85
568665,3872587,34.99614983,24.75406546,9
574712,3872588,34.99572922,24.82032312,50
621462,3872589,34.99119682,25.33250941,2.5
568862,3872595,34.99620854,24.75622469,128
634762.3,3872606.02,34.9896636,25.47820478,1
630611.04,3872608.2,34.99022845,25.43273309,1
621531,3872609,34.99136882,25.3332682,1
568710,3872615,34.99639923,24.75456085,12
630531.1,3872615.11,34.99030107,25.43185852,1
592628.46,3872618.95,34.99452312,25.01662997,35
592459,3872637,34.99470139,25.01477534,59.65
590107,3872647,34.99500422,24.98900719,20
621464.75,3872654,34.99178247,25.33254903,1
630567.37,3872659.218,34.990694,25.43226275,3
635261.48,3872659.41,34.99007818,25.4836813,2
621517,3872678,34.99199254,25.33312492,1.5
568842.26,3872692.16,34.99708594,24.75601645,15
621511,3872697,34.99216455,25.33306197,1.5
589797,3872698,34.99549166,24.98561623,25
589755,3872701,34.99552245,24.98515638,4
572658,3872704,34.99692513,24.79782755,108
616783,3872705,34.99279438,25.28126875,100
621516,3872709,34.99227213,25.3331185,2
572909,3872711,34.99697014,24.80057842,108.12
621655.4,3872712.6,34.9922878,25.3346461,7
630552.53,3872719.23,34.9912369,25.43210961,3
591689,3872723,34.995547,25.0063485,60
634253,3872728,34.99083099,25.47264578,3
635264.42,3872739.79,34.99080236,25.48372658,2.5
621500.99,3872743.35,34.9925836,25.33295909,2
630495.38,3872745.87,34.99148444,25.43148777,1
621498,3872765,34.99277913,25.3329295,130
590415,3872768,34.99606763,24.99239492,42
590415,3872768,34.99606763,24.99239492,42
628619.29,3872775.88,34.99199557,25.41094139,1
588939,3872800,34.99648727,24.9762265,1
621427.043,3872805.8,34.99315547,25.33215814,2
632705.98,3872807.18,34.99174915,25.45571255,1
621480.67,3872812.56,34.99320997,25.3327466,5
578162,3872816,34.99752366,24.85814592,340.3
592511.24,3872830,34.9964367,25.01536918,50
621470,3872839,34.99344961,25.33263358,2
619952.6,3872848.8,34.9937193,25.31601206,20
632774.45,3872851.38,34.9921386,25.45646963,1
573113,3872852,34.99822671,24.8028261,105
635320.9,3872853.52,34.99182,25.48436376,7.5
594902,3872864,34.99652132,25.04156723,40
640180.15,3872868.39,34.99129151,25.53759314,4
640816,3872878,34.99128972,25.54455957,105.4
630480.39,3872878.1,34.99267837,25.43134432,1
621456.67,3872885.74,34.99387257,25.33249438,3
635332.86,3872885.96,34.99211083,25.48450005,8
621451.8,3872891.7,34.99392688,25.3324419,21.5
623803.6,3872891.9,34.99364316,25.35820547,1.5
593838,3872906,34.99699945,25.02991434,120
639886.4,3872914.48,34.99174769,25.53438328,1
592833,3872934,34.99734482,25.01890616,35
632775.381,3872935.159,34.9928937,25.45649321,4
632775.381,3872935.159,34.9928937,25.45649321,4
632775.38,3872935.16,34.99289371,25.45649319,4
632832.98,3872966.61,34.99316964,25.45712918,1
639762.5,3872968.4,34.99225088,25.53303519,50
621355,3872968.89,34.99463439,25.33139274,1
585054,3872982,34.99846306,24.93367834,2
621348.87,3872984.71,34.99477774,25.33132789,1
630438.98,3872992.65,34.99371635,25.43090868,1
595199,3872995,34.99767445,25.04483629,45
632788.59,3872996.7,34.99344673,25.45664773,1
590665,3873005,34.99818201,24.99515992,31
590632,3873019,34.9983112,24.99479987,8
591645,3873032,34.99833695,25.00590051,50
569210.105,3873034.764,35.00014991,24.76007561,14
621329.11,3873035.06,34.99523402,25.33111877,3
569067,3873037,35.00017987,24.75850769,10
632828.75,3873038.84,34.99382132,25.45709439,1
575118,3873039,34.99976552,24.82481245,123
632753.81,3873041.55,34.9938556,25.4562739,1
632828.19,3873043.47,34.99386313,25.45708899,1
632799.23,3873064.87,34.99405985,25.45677517,1
630422.6,3873079.48,34.9945012,25.43074287,1
632797.17,3873084.76,34.99423941,25.45675578,1
586160,3873085,34.99929791,24.94580745,120
621350.07,3873094.202,34.99576466,25.33135703,4
639735,3873107,34.99350405,25.53275725,8
593429,3873122,34.99898484,25.02545742,56
632838.88,3873135.76,34.99469367,25.45722084,4
632827.4,3873148.99,34.99481444,25.4570972,1
621322.4,3873157.3,34.99633682,25.33106311,5
639791.15,3873158.34,34.99395907,25.53338095,3
621321.33,3873163.83,34.99639581,25.33105234,1
594699,3873166,34.9992632,25.03937751,72
594696.3,3873176.7,34.99935992,25.03934915,70
594063,3873186,34.99950298,25.03241126,23
621303,3873192.4,34.99665557,25.3308557,9
623902.644,3873195.935,34.99637186,25.3593358,5
591977,3873206,34.99987554,25.00955742,4
627220,3873212,34.99610427,25.39567986,1.5
639829.46,3873225.46,34.9945588,25.53381188,8
575678,3873232,35.00146385,24.83096624,6
592352.08,3873247.34,35.00021401,25.01367175,10
621265,3873258,34.99725152,25.33044897,1
595773.8,3873265.7,35.00006068,25.05116531,40
595086,3873273,35.00019152,25.04363002,3
595426,3873275,35.00017747,25.04735559,60
595422.9,3873280.6,35.00022825,25.04732227,72.5
621252.69,3873281.116,34.99746139,25.33031748,1
588940,3873283,35.00084196,24.97628917,40
574502,3873287,35.00204728,24.81808488,120.4
619808,3873301,34.99781307,25.31449316,90
630654.39,3873302.75,34.99648393,25.43331711,1
593829,3873323,35.00075995,25.02986284,100
637784.98,3873325.26,34.99573935,25.51143301,1
582645,3873340,35.00189103,24.90731839,50
624671.26,3873344.27,34.99761449,25.3677783,1
596296,3873372,35.00096939,25.05689929,1
632748.78,3873374.35,34.99685629,25.45627195,4
632748.78,3873374.35,34.99685629,25.45627195,4
581849,3873375,35.00227148,24.89859962,50
576111,3873383,35.00279276,24.83572477,228.9
594439,3873395,35.00135221,25.03655479,36
627015.92,3873408.93,34.99790523,25.39347428,1
591746.4,3873429.2,35.0019089,25.0070554,19
626603.5,3873430.5,34.99815146,25.38895944,1.5
593869,3873432,35.00173897,25.03031344,48.5
594972.7,3873472.6,35.00200176,25.04241143,40
590347.07,3873477.06,35.00246664,24.99172778,2
626717,3873480,34.99858346,25.3902104,3.5
590672,3873501,35.00265334,24.99529076,20
620443,3873508,34.99960364,25.32147989,215
588083,3873509,35.00295476,24.96692281,180
588083,3873509,35.00295476,24.96692281,99
594004,3873540,35.00270012,25.03180487,12
626531,3873541.5,34.99916119,25.38818209,2
582728,3873558,35.00384978,24.90824959,36
639309.5,3873559.8,34.99764445,25.52817226,31
625615.87,3873564.5,34.99948277,25.37815997,1
583094,3873575,35.00397298,24.91226185,6
626478.76,3873580.18,34.99951642,25.38761567,1
582567,3873592,35.00416952,24.90648876,60
582568,3873596,35.0042055,24.90650012,44
602881,3873608,35.00244745,25.12907881,16
593989,3873612,35.00335067,25.03164866,15
588985,3873614,35.00382232,24.97681772,52
607494,3873624,35.00211104,25.17962432,55
593104.35,3873628.29,35.00357954,25.02195706,9
642329.5649,3873630.514,34.99786085,25.56126718,5.5
583360.5,3873638.2,35.00452083,24.91518845,52
583360.5,3873638.2,35.00452083,24.91518845,18
595573,3873639,35.00344535,25.04900814,70.35
642305.743,3873639.32,34.99794358,25.56100774,8
574157,3873650,35.00534569,24.81433685,27
594032,3873650,35.00368927,25.03212413,20
590344,3873655,35.00407123,24.9917135,1
626418,3873662,35.00026162,25.38696246,3
642303.839,3873667.69,34.99819958,25.56099174,4.5
582695,3873670,35.0048623,24.90789914,2
588003,3873683,35.00453055,24.96606465,170
595154,3873701.3,35.00404663,25.04442416,4
587480,3873703,35.00475634,24.96033587,115
587480,3873703,35.00475634,24.96033587,70
642268.748,3873710.962,34.99859458,25.56061475,5.5
625082,3873717,35.0009238,25.37233415,5
626380.65,3873727.4,35.00085586,25.38656322,100
593782.1,3873738.1,35.00450683,25.02939583,12
626413.86,3873745.28,35.00101289,25.38692978,1
593643.6,3873749.7,35.00462427,25.02787952,4
592525,3873765,35.00486539,25.01562411,4
582354,3873768,35.00577379,24.9041722,25
595994,3873771,35.00459549,25.05363641,6
581595.2,3873773.65,35.00588638,24.89585775,51
593806,3873793,35.00499958,25.02966391,12
642274,3873806,34.99945052,25.56068855,3
597805,3873825,35.00490848,25.07348659,42.3
582722,3873830,35.0063027,24.90821094,50
597800,3873833,35.00498109,25.07343275,30
632910.5,3873835.1,35.00098845,25.45811723,1
632909.6,3873835.2,35.00098946,25.45810739,1
591173,3873842,35.00568268,25.00081784,50
570082,3873858,35.0075125,24.7696991,20
631538.5,3873862.3,35.00141328,25.44309087,113
631528.5,3873864.7,35.00143621,25.44298169,103
642273,3873878,35.00009967,25.56068992,3
575684.862,3873892.589,35.00741951,24.83110167,4
582743,3873894,35.00687801,24.90844744,3
584333,3873894,35.00674637,24.92587095,50
596635,3873902,35.0057154,25.06067536,51
605904.07,3873910.42,35.00486131,25.16224049,5
594174,3873927,35.00617345,25.03371149,6
584635,3873928,35.00702763,24.92918377,18.5
578426,3873943,35.00766465,24.86114506,3.5
605244,3873944,35.00523309,25.15501231,2
632754.7,3873944.6,35.00199602,25.4564279,34.57
605540,3873946,35.00522022,25.15825587,3.6
626466,3873952.74,35.00287656,25.38753258,7
595371.9,3873959.9,35.00635757,25.04684148,18
576210.59,3873987.64,35.00823695,24.83687158,4
626576,3873996,35.00325276,25.38874431,115
590285,3874002,35.00720508,24.99110473,1
585042,3874017,35.00779585,24.93365286,25
603356.13,3874031.45,35.00621659,25.13433743,10
581531,3874033,35.00822995,24.89517971,45
576650,3874039,35.00866674,24.84169164,56
602476,3874041,35.00639243,25.12469469,15
583843,3874051,35.00820275,24.92051731,4
593943,3874052,35.00732197,25.0311944,25
585625.3,3874055.3,35.00809183,24.94004875,2
583572,3874062,35.00832442,24.9175487,36
630112,3874062,35.00339829,25.42749422,60
595142,3874066,35.00733586,25.04433446,4
583568.5,3874071.2,35.00840766,24.91751127,36
602645,3874097,35.00688013,25.12655342,4
592171.4,3874102.4,35.00793975,25.01178695,45
592663.5,3874119.5,35.00804885,25.0171813,45
589778.5,3874136.2,35.00846023,24.98556902,45
